time,temp,ambient light,conduct
2017-02-26 23:00:43,244,11,0
2017-02-26 23:00:44,244,11,0
2017-02-26 23:00:45,244,11,0
2017-02-26 23:00:46,243,11,0
2017-02-26 23:00:47,244,11,0
2017-02-26 23:00:48,243,11,0
2017-02-26 23:00:49,243,11,0
2017-02-26 23:00:50,243,11,0
2017-02-26 23:00:51,243,11,0
2017-02-26 23:00:52,243,11,0
2017-02-26 23:00:53,243,11,0
2017-02-26 23:00:54,244,11,0
2017-02-26 23:00:55,244,11,0
2017-02-26 23:00:56,244,11,0
2017-02-26 23:00:57,244,11,0
2017-02-26 23:00:58,244,11,0
2017-02-26 23:00:59,245,11,0
2017-02-26 23:01:00,245,11,0
2017-02-26 23:01:01,245,11,0
2017-02-26 23:01:02,245,11,0
2017-02-26 23:01:03,245,11,0
2017-02-26 23:01:04,245,11,0
2017-02-26 23:01:05,245,11,0
2017-02-26 23:01:06,245,11,0
2017-02-26 23:01:07,245,11,0
2017-02-26 23:01:08,245,11,0
2017-02-26 23:01:10,245,11,0
2017-02-26 23:01:11,245,11,0
2017-02-26 23:01:12,245,11,0
2017-02-26 23:01:13,245,11,0
2017-02-26 23:01:14,245,11,0
2017-02-26 23:01:15,245,11,0
2017-02-26 23:01:16,245,11,0
2017-02-26 23:01:17,245,11,0
2017-02-26 23:01:18,245,11,0
2017-02-26 23:01:19,245,11,0
2017-02-26 23:01:20,245,11,0
2017-02-26 23:01:21,245,11,0
2017-02-26 23:01:22,245,11,0
2017-02-26 23:01:23,245,11,0
2017-02-26 23:01:24,245,11,0
2017-02-26 23:01:25,245,9,0
2017-02-26 23:01:26,245,9,0
2017-02-26 23:01:27,245,11,0
2017-02-26 23:01:28,245,11,0
2017-02-26 23:01:29,245,13,0
2017-02-26 23:01:30,245,13,0
2017-02-26 23:01:31,245,11,0
2017-02-26 23:01:32,245,11,0
2017-02-26 23:01:33,245,11,0
2017-02-26 23:01:34,245,11,0
2017-02-26 23:01:35,245,11,0
2017-02-26 23:01:36,245,11,0
2017-02-26 23:01:37,245,11,0
2017-02-26 23:01:38,245,11,0
2017-02-26 23:01:39,245,11,0
2017-02-26 23:01:40,245,11,0
2017-02-26 23:01:41,245,11,0
2017-02-26 23:01:42,245,11,0
2017-02-26 23:01:44,245,11,0
2017-02-26 23:01:45,245,11,0
2017-02-26 23:01:46,245,11,0
2017-02-26 23:01:47,245,11,0
2017-02-26 23:01:48,245,11,0
2017-02-26 23:01:49,245,11,0
2017-02-26 23:01:50,245,11,0
2017-02-26 23:01:51,245,11,0
2017-02-26 23:01:52,245,11,0
2017-02-26 23:01:53,245,11,0
2017-02-26 23:01:54,245,11,0
